,pattern_id,pattern_name,direction,trip_length,cd_route,cd_variation,pattern_destination,route_text,route_key,direction_id,geo_id,stop_id,stop_dist,order,stop_sort_order,geo_description,ta_geo_id,longitude,latitude,heading
284,1236,[64]GEORGIA + PETWOTH - FT TOTTEN,NORTH,11593,64,1,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,290,0.0,16808,42582,0,2,1,NEW HAMPSHIRE AVE NW + GEORGIA AVE,1002981,-77.024553,38.93578,18.33
277,1236,[64]GEORGIA + PETWOTH - FT TOTTEN,NORTH,11593,64,1,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,290,0.0,13092,12882,1184,3,2,NEW HAMPSHIRE AVE + RANDOLPH ST,1003054,-77.022461,38.938625,28.05
278,1236,[64]GEORGIA + PETWOTH - FT TOTTEN,NORTH,11593,64,1,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,290,0.0,13093,12883,445,4,3,NEW HAMPSHIRE AVE + SHEPHERD ST,1003055,-77.021668,38.939659,33.35
279,1236,[64]GEORGIA + PETWOTH - FT TOTTEN,NORTH,11593,64,1,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,290,0.0,13094,12884,519,5,4,NEW HAMPSHIRE AVE + TAYLOR ST,1003056,-77.020759,38.940846,26.66
271,1236,[64]GEORGIA + PETWOTH - FT TOTTEN,NORTH,11593,64,1,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,290,0.0,8174,5451,562,6,5,NEW HAMPSHIRE AVE NW + UPSHUR ST NW,1002360,-77.019821,38.942249,27.16
272,1236,[64]GEORGIA + PETWOTH - FT TOTTEN,NORTH,11593,64,1,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,290,0.0,8212,5452,452,7,6,GRANT CIR NW + VARNUM ST NW,1002375,-77.018524,38.943047,359.96
273,1236,[64]GEORGIA + PETWOTH - FT TOTTEN,NORTH,11593,64,1,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,290,0.0,8266,5453,440,8,7,NEW HAMPSHIRE AVE + WEBSTER ST,1002399,-77.018478,38.944073,22.31
280,1236,[64]GEORGIA + PETWOTH - FT TOTTEN,NORTH,11593,64,1,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,290,0.0,8302,17329,581,9,8,NEW HAMPSHIRE AVE + 4TH ST,1002421,-77.017426,38.94548,22.9
282,1236,[64]GEORGIA + PETWOTH - FT TOTTEN,NORTH,11593,64,1,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,290,0.0,8402,25370,1048,10,9,NEW HAMPSHIRE AVE + 3RD ST,1002482,-77.015663,38.947884,26.88
281,1236,[64]GEORGIA + PETWOTH - FT TOTTEN,NORTH,11593,64,1,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,290,0.0,8462,20988,880,11,10,NEW HAMPSHIRE AVE + EMERSON ST,1002510,-77.014145,38.949925,26.41
274,1236,[64]GEORGIA + PETWOTH - FT TOTTEN,NORTH,11593,64,1,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,290,0.0,8510,5454,652,12,11,NEW HAMPSHIRE AVE + FARRAGUT ST,1002531,-77.013054,38.95142,26.1
275,1236,[64]GEORGIA + PETWOTH - FT TOTTEN,NORTH,11593,64,1,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,290,0.0,8578,5455,774,13,12,NEW HAMPSHIRE AVE + HAMILTON ST,1002563,-77.011711,38.953255,26.81
276,1236,[64]GEORGIA + PETWOTH - FT TOTTEN,NORTH,11593,64,1,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,290,0.0,8639,5456,684,14,13,NEW HAMPSHIRE AVE + INGRAHAM ST,1002583,-77.010544,38.95483,36.44
268,1236,[64]GEORGIA + PETWOTH - FT TOTTEN,NORTH,11593,64,1,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,290,0.0,8645,5370,769,16,14,RIGGS RD NE + N CAPITOL ST NE,1002586,-77.008316,38.954887,74.85
269,1236,[64]GEORGIA + PETWOTH - FT TOTTEN,NORTH,11593,64,1,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,290,0.0,8661,5371,425,17,15,RIGGS RD NE + ROCK CREEK CHURCH RD NE,1002590,-77.006966,38.955204,74.29
283,1236,[64]GEORGIA + PETWOTH - FT TOTTEN,NORTH,11593,64,1,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,290,0.0,8632,41607,1088,18,16,FIRST PL + INGRAHAM ST,1002582,-77.004593,38.954685,192.06
270,1236,[64]GEORGIA + PETWOTH - FT TOTTEN,NORTH,11593,64,1,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,290,0.0,13646,5426,1090,20,17,FORT TOTTEN STATION + BUS BAY B,1003234,-77.002787,38.95226,112.67
580,5862,[64]FEDERAL TRIANGLE -FORT TOTTEN,NORTH,30695,64,2,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,302,0.0,16909,15894,0,2,1,10TH ST NW + CONSTITUTION AVE NW,1003570,-77.025873,38.892452,180.0
556,5862,[64]FEDERAL TRIANGLE -FORT TOTTEN,NORTH,30695,64,2,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,302,0.0,5319,1386,1184,3,2,12TH ST + CONSTITUTION AVE,1000901,-77.02803,38.893231,341.85
583,5862,[64]FEDERAL TRIANGLE -FORT TOTTEN,NORTH,30695,64,2,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,302,0.0,5511,17775,1465,4,3,11TH ST NW + E ST NW,1000991,-77.026962,38.895862,358.22
557,5862,[64]FEDERAL TRIANGLE -FORT TOTTEN,NORTH,30695,64,2,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,302,0.0,5695,4191,837,5,4,11TH ST NW + G ST NW,1001068,-77.026932,38.898052,0.63
555,5862,[64]FEDERAL TRIANGLE -FORT TOTTEN,NORTH,30695,64,2,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,302,0.0,19338,1174,502,6,5,11TH ST NW + H ST NW,1003728,-77.02698,38.89929,349.54
581,5862,[64]FEDERAL TRIANGLE -FORT TOTTEN,NORTH,30695,64,2,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,302,0.0,18696,16490,505,7,6,11TH ST NW + NEW YORK AVE NW,1001159,-77.02701,38.900662,0.0
586,5862,[64]FEDERAL TRIANGLE -FORT TOTTEN,NORTH,30695,64,2,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,302,0.0,6083,20946,843,9,7,11TH ST NW + K ST NW,1001264,-77.027016,38.90292,0.0
584,5862,[64]FEDERAL TRIANGLE -FORT TOTTEN,NORTH,30695,64,2,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,302,0.0,6230,19427,928,10,8,11TH ST NW+ M ST NW,1001329,-77.027,38.90543,0.0
589,5862,[64]FEDERAL TRIANGLE -FORT TOTTEN,NORTH,30695,64,2,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,302,0.0,6312,24111,621,11,9,11TH ST NW + N ST NW,1001366,-77.02697,38.907047,1.86
585,5862,[64]FEDERAL TRIANGLE -FORT TOTTEN,NORTH,30695,64,2,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,302,0.0,6454,20316,909,12,10,11TH ST NW + P ST NW,1001427,-77.026962,38.90945,352.41
560,5862,[64]FEDERAL TRIANGLE -FORT TOTTEN,NORTH,30695,64,2,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,302,0.0,6570,5386,529,13,11,11TH ST + Q ST,1001505,-77.026985,38.910881,0.0
574,5862,[64]FEDERAL TRIANGLE -FORT TOTTEN,NORTH,30695,64,2,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,302,0.0,17477,15862,579,14,12,11TH ST NW + R ST NW,1001545,-77.02697,38.912495,0.0
561,5862,[64]FEDERAL TRIANGLE -FORT TOTTEN,NORTH,30695,64,2,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,302,0.0,6761,5388,772,15,13,VERMONT AVE NW + 11TH ST NW,1001608,-77.026771,38.91444,0.0
562,5862,[64]FEDERAL TRIANGLE -FORT TOTTEN,NORTH,30695,64,2,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,302,0.0,6874,5389,988,17,14,VERMONT AVE + U ST,1001670,-77.02533,38.916821,24.87
595,5862,[64]FEDERAL TRIANGLE -FORT TOTTEN,NORTH,30695,64,2,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,302,0.0,27603,9070133,1843,18,15,FLORIDA AVE NW + 11TH ST NW,1003918,-77.026689,38.920842,293.19
575,5862,[64]FEDERAL TRIANGLE -FORT TOTTEN,NORTH,30695,64,2,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,302,0.0,7166,15867,911,19,16,11TH ST NW + CLIFTON ST NW,1001818,-77.027008,38.922619,10.43
576,5862,[64]FEDERAL TRIANGLE -FORT TOTTEN,NORTH,30695,64,2,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,302,0.0,7236,15868,563,20,17,11TH ST NW + EUCLID ST NW,1001857,-77.027039,38.923901,16.52
577,5862,[64]FEDERAL TRIANGLE -FORT TOTTEN,NORTH,30695,64,2,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,302,0.0,7368,15869,802,21,18,11TH ST NW + GIRARD ST NW,1001929,-77.027031,38.925972,15.06
578,5862,[64]FEDERAL TRIANGLE -FORT TOTTEN,NORTH,30695,64,2,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,302,0.0,16802,15870,776,22,19,11TH ST NW + COLUMBIA RD NW,1001980,-77.027192,38.928008,343.99
588,5862,[64]FEDERAL TRIANGLE -FORT TOTTEN,NORTH,30695,64,2,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,302,0.0,16803,22407,375,23,20,11TH ST NW + IRVING ST NW,1002008,-77.027432,38.92898,326.6
564,5862,[64]FEDERAL TRIANGLE -FORT TOTTEN,NORTH,30695,64,2,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,302,0.0,7591,5436,571,24,21,11TH ST + LAMONT ST,1002058,-77.02787,38.930496,355.43
579,5862,[64]FEDERAL TRIANGLE -FORT TOTTEN,NORTH,30695,64,2,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,302,0.0,7664,15873,583,25,22,11TH ST NW + PARK RD NW,1002102,-77.028282,38.932034,358.75
592,5862,[64]FEDERAL TRIANGLE -FORT TOTTEN,NORTH,30695,64,2,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,302,0.0,7719,38667,632,26,23,MONROE ST NW + NEW HAMPSHIRE AVE,1002136,-77.02726,38.932766,86.97
591,5862,[64]FEDERAL TRIANGLE -FORT TOTTEN,NORTH,30695,64,2,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,302,0.0,12482,36027,560,27,24,NEW HAMPSHIRE AVE + OTIS PL NW,1002980,-77.025955,38.93383,29.9
594,5862,[64]FEDERAL TRIANGLE -FORT TOTTEN,NORTH,30695,64,2,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,302,0.0,16808,42582,824,29,25,NEW HAMPSHIRE AVE NW + GEORGIA AVE,1002981,-77.024553,38.93578,18.33
571,5862,[64]FEDERAL TRIANGLE -FORT TOTTEN,NORTH,30695,64,2,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,302,0.0,13092,12882,1184,30,26,NEW HAMPSHIRE AVE + RANDOLPH ST,1003054,-77.022461,38.938625,28.05
572,5862,[64]FEDERAL TRIANGLE -FORT TOTTEN,NORTH,30695,64,2,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,302,0.0,13093,12883,445,31,27,NEW HAMPSHIRE AVE + SHEPHERD ST,1003055,-77.021668,38.939659,33.35
573,5862,[64]FEDERAL TRIANGLE -FORT TOTTEN,NORTH,30695,64,2,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,302,0.0,13094,12884,519,32,28,NEW HAMPSHIRE AVE + TAYLOR ST,1003056,-77.020759,38.940846,26.66
565,5862,[64]FEDERAL TRIANGLE -FORT TOTTEN,NORTH,30695,64,2,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,302,0.0,8174,5451,562,33,29,NEW HAMPSHIRE AVE NW + UPSHUR ST NW,1002360,-77.019821,38.942249,27.16
566,5862,[64]FEDERAL TRIANGLE -FORT TOTTEN,NORTH,30695,64,2,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,302,0.0,8212,5452,452,34,30,GRANT CIR NW + VARNUM ST NW,1002375,-77.018524,38.943047,359.96
567,5862,[64]FEDERAL TRIANGLE -FORT TOTTEN,NORTH,30695,64,2,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,302,0.0,8266,5453,440,35,31,NEW HAMPSHIRE AVE + WEBSTER ST,1002399,-77.018478,38.944073,22.31
582,5862,[64]FEDERAL TRIANGLE -FORT TOTTEN,NORTH,30695,64,2,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,302,0.0,8302,17329,581,36,32,NEW HAMPSHIRE AVE + 4TH ST,1002421,-77.017426,38.94548,22.9
590,5862,[64]FEDERAL TRIANGLE -FORT TOTTEN,NORTH,30695,64,2,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,302,0.0,8402,25370,1048,37,33,NEW HAMPSHIRE AVE + 3RD ST,1002482,-77.015663,38.947884,26.88
587,5862,[64]FEDERAL TRIANGLE -FORT TOTTEN,NORTH,30695,64,2,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,302,0.0,8462,20988,880,38,34,NEW HAMPSHIRE AVE + EMERSON ST,1002510,-77.014145,38.949925,26.41
568,5862,[64]FEDERAL TRIANGLE -FORT TOTTEN,NORTH,30695,64,2,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,302,0.0,8510,5454,652,39,35,NEW HAMPSHIRE AVE + FARRAGUT ST,1002531,-77.013054,38.95142,26.1
569,5862,[64]FEDERAL TRIANGLE -FORT TOTTEN,NORTH,30695,64,2,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,302,0.0,8578,5455,774,40,36,NEW HAMPSHIRE AVE + HAMILTON ST,1002563,-77.011711,38.953255,26.81
570,5862,[64]FEDERAL TRIANGLE -FORT TOTTEN,NORTH,30695,64,2,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,302,0.0,8639,5456,684,41,37,NEW HAMPSHIRE AVE + INGRAHAM ST,1002583,-77.010544,38.95483,36.44
558,5862,[64]FEDERAL TRIANGLE -FORT TOTTEN,NORTH,30695,64,2,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,302,0.0,8645,5370,769,43,38,RIGGS RD NE + N CAPITOL ST NE,1002586,-77.008316,38.954887,74.85
559,5862,[64]FEDERAL TRIANGLE -FORT TOTTEN,NORTH,30695,64,2,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,302,0.0,8661,5371,425,44,39,RIGGS RD NE + ROCK CREEK CHURCH RD NE,1002590,-77.006966,38.955204,74.29
593,5862,[64]FEDERAL TRIANGLE -FORT TOTTEN,NORTH,30695,64,2,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,302,0.0,8632,41607,1088,45,40,FIRST PL + INGRAHAM ST,1002582,-77.004593,38.954685,192.06
563,5862,[64]FEDERAL TRIANGLE -FORT TOTTEN,NORTH,30695,64,2,NORTH to FORT TOTTEN,Fort Totten-Petworth Line,302,0.0,13646,5426,1090,47,41,FORT TOTTEN STATION + BUS BAY B,1003234,-77.002787,38.95226,112.67
520,5861,[64]FT TOTTEN - FEDERAL TRIANGLE,SOUTH,30666,64,3,SOUTH to FEDERAL TRIANGLE,Fort Totten-Petworth Line,200,1.0,13646,5426,0,2,1,FORT TOTTEN STATION + BUS BAY B,1003234,-77.002787,38.95226,112.67
529,5861,[64]FT TOTTEN - FEDERAL TRIANGLE,SOUTH,30666,64,3,SOUTH to FEDERAL TRIANGLE,Fort Totten-Petworth Line,200,1.0,21559,10408,1918,3,2,FT TOTTEN STATION + BUS BAY K,1003435,-77.00307,38.95263,300.45
512,5861,[64]FT TOTTEN - FEDERAL TRIANGLE,SOUTH,30666,64,3,SOUTH to FEDERAL TRIANGLE,Fort Totten-Petworth Line,200,1.0,8657,2736,1125,4,3,1ST PL NE + RIGGS RD NE,1002588,-77.00454,38.95512,0.14
513,5861,[64]FT TOTTEN - FEDERAL TRIANGLE,SOUTH,30666,64,3,SOUTH to FEDERAL TRIANGLE,Fort Totten-Petworth Line,200,1.0,8664,5375,1015,5,4,RIGGS RD NE + BLAIR RD NE,1002591,-77.007103,38.955242,252.76
514,5861,[64]FT TOTTEN - FEDERAL TRIANGLE,SOUTH,30666,64,3,SOUTH to FEDERAL TRIANGLE,Fort Totten-Petworth Line,200,1.0,8641,5376,497,7,5,RIGGS RD NE + N CAPITOL ST NE,1002584,-77.00872,38.95488,279.78
521,5861,[64]FT TOTTEN - FEDERAL TRIANGLE,SOUTH,30666,64,3,SOUTH to FEDERAL TRIANGLE,Fort Totten-Petworth Line,200,1.0,8602,5427,1045,8,6,NEW HAMPSHIRE AVE NW + 1ST ST NW,1002570,-77.011307,38.953842,222.67
522,5861,[64]FT TOTTEN - FEDERAL TRIANGLE,SOUTH,30666,64,3,SOUTH to FEDERAL TRIANGLE,Fort Totten-Petworth Line,200,1.0,8511,5428,1025,9,7,NEW HAMPSHIRE AVE + 2ND ST,1002532,-77.013084,38.951454,220.11
544,5861,[64]FT TOTTEN - FEDERAL TRIANGLE,SOUTH,30666,64,3,SOUTH to FEDERAL TRIANGLE,Fort Totten-Petworth Line,200,1.0,8476,26324,507,10,8,NEW HAMPSHIRE AVE + EMERSON ST,1002515,-77.013947,38.950283,218.88
539,5861,[64]FT TOTTEN - FEDERAL TRIANGLE,SOUTH,30666,64,3,SOUTH to FEDERAL TRIANGLE,Fort Totten-Petworth Line,200,1.0,8412,23068,881,11,9,NEW HAMPSHIRE AVE + 3RD ST,1002489,-77.01548,38.948212,225.3
540,5861,[64]FT TOTTEN - FEDERAL TRIANGLE,SOUTH,30666,64,3,SOUTH to FEDERAL TRIANGLE,Fort Totten-Petworth Line,200,1.0,8325,24096,924,12,10,NEW HAMPSHIRE AVE + 4TH ST,1002440,-77.017075,38.946079,233.07
523,5861,[64]FT TOTTEN - FEDERAL TRIANGLE,SOUTH,30666,64,3,SOUTH to FEDERAL TRIANGLE,Fort Totten-Petworth Line,200,1.0,8274,5432,747,13,11,NEW HAMPSHIRE AVE + WEBSTER ST,1002406,-77.018379,38.944321,224.22
524,5861,[64]FT TOTTEN - FEDERAL TRIANGLE,SOUTH,30666,64,3,SOUTH to FEDERAL TRIANGLE,Fort Totten-Petworth Line,200,1.0,8230,5433,689,14,12,GRANT CIR NW + VARNUM ST NW,1002383,-77.019981,38.943214,200.57
525,5861,[64]FT TOTTEN - FEDERAL TRIANGLE,SOUTH,30666,64,3,SOUTH to FEDERAL TRIANGLE,Fort Totten-Petworth Line,200,1.0,8169,5434,417,15,13,NEW HAMPSHIRE AVE NW + UPSHUR ST NW,1002357,-77.020027,38.942207,222.07
533,5861,[64]FT TOTTEN - FEDERAL TRIANGLE,SOUTH,30666,64,3,SOUTH to FEDERAL TRIANGLE,Fort Totten-Petworth Line,200,1.0,13075,12877,765,16,14,NEW HAMPSHIRE AVE + 7TH ST,1003043,-77.021233,38.940494,218.75
534,5861,[64]FT TOTTEN - FEDERAL TRIANGLE,SOUTH,30666,64,3,SOUTH to FEDERAL TRIANGLE,Fort Totten-Petworth Line,200,1.0,16871,12878,912,17,15,NEW HAMPSHIRE AVE + RANDOLPH ST,1003044,-77.022917,38.938332,203.78
543,5861,[64]FT TOTTEN - FEDERAL TRIANGLE,SOUTH,30666,64,3,SOUTH to FEDERAL TRIANGLE,Fort Totten-Petworth Line,200,1.0,13144,24725,610,19,16,NEW HAMPSHIRE AVE + GEORGIA AVE,1003081,-77.023941,38.93689,200.31
530,5861,[64]FT TOTTEN - FEDERAL TRIANGLE,SOUTH,30666,64,3,SOUTH to FEDERAL TRIANGLE,Fort Totten-Petworth Line,200,1.0,13145,12617,640,20,17,NEW HAMPSHIRE AVE + SPRING RD,1003082,-77.02507,38.935383,220.81
531,5861,[64]FT TOTTEN - FEDERAL TRIANGLE,SOUTH,30666,64,3,SOUTH to FEDERAL TRIANGLE,Fort Totten-Petworth Line,200,1.0,13147,12619,1088,21,18,NEW HAMPSHIRE AVE + MONROE ST,1003084,-77.026779,38.933166,200.86
532,5861,[64]FT TOTTEN - FEDERAL TRIANGLE,SOUTH,30666,64,3,SOUTH to FEDERAL TRIANGLE,Fort Totten-Petworth Line,200,1.0,13081,12620,572,22,19,PARK RD + 11TH ST,1003045,-77.027916,38.931965,244.24
535,5861,[64]FT TOTTEN - FEDERAL TRIANGLE,SOUTH,30666,64,3,SOUTH to FEDERAL TRIANGLE,Fort Totten-Petworth Line,200,1.0,13082,15877,641,23,20,11TH ST NW + LAMONT ST NW,1003046,-77.027862,38.93047,168.21
545,5861,[64]FT TOTTEN - FEDERAL TRIANGLE,SOUTH,30666,64,3,SOUTH to FEDERAL TRIANGLE,Fort Totten-Petworth Line,200,1.0,13083,26713,798,24,21,11TH ST NW + IRVING ST NW,1003047,-77.027405,38.928536,197.44
526,5861,[64]FT TOTTEN - FEDERAL TRIANGLE,SOUTH,30666,64,3,SOUTH to FEDERAL TRIANGLE,Fort Totten-Petworth Line,200,1.0,16849,5438,751,25,22,11TH ST NW + HARVARD ST NW,1003048,-77.027105,38.92651,174.68
527,5861,[64]FT TOTTEN - FEDERAL TRIANGLE,SOUTH,30666,64,3,SOUTH to FEDERAL TRIANGLE,Fort Totten-Petworth Line,200,1.0,16850,5439,760,26,23,11TH ST + FAIRMONT ST,1003049,-77.027097,38.92448,171.59
528,5861,[64]FT TOTTEN - FEDERAL TRIANGLE,SOUTH,30666,64,3,SOUTH to FEDERAL TRIANGLE,Fort Totten-Petworth Line,200,1.0,16851,5440,749,27,24,11TH ST + CLIFTON ST,1003050,-77.027088,38.922492,180.0
548,5861,[64]FT TOTTEN - FEDERAL TRIANGLE,SOUTH,30666,64,3,SOUTH to FEDERAL TRIANGLE,Fort Totten-Petworth Line,200,1.0,27602,9070174,780,28,25,FLORIDA AVE NW + 11TH ST NW,1003917,-77.026692,38.920696,113.19
516,5861,[64]FT TOTTEN - FEDERAL TRIANGLE,SOUTH,30666,64,3,SOUTH to FEDERAL TRIANGLE,Fort Totten-Petworth Line,200,1.0,6857,5418,1907,30,26,VERMONT AVE + U ST,1001659,-77.025681,38.916485,206.02
517,5861,[64]FT TOTTEN - FEDERAL TRIANGLE,SOUTH,30666,64,3,SOUTH to FEDERAL TRIANGLE,Fort Totten-Petworth Line,200,1.0,6744,5419,1010,31,27,11TH ST + S ST,1001598,-77.027107,38.914215,174.86
515,5861,[64]FT TOTTEN - FEDERAL TRIANGLE,SOUTH,30666,64,3,SOUTH to FEDERAL TRIANGLE,Fort Totten-Petworth Line,200,1.0,6664,5387,543,32,28,11TH ST + R ST,1001558,-77.027084,38.912754,175.2
518,5861,[64]FT TOTTEN - FEDERAL TRIANGLE,SOUTH,30666,64,3,SOUTH to FEDERAL TRIANGLE,Fort Totten-Petworth Line,200,1.0,6568,5420,697,33,29,11TH ST + RHODE ISLAND AVE,1001503,-77.027069,38.910858,190.97
542,5861,[64]FT TOTTEN - FEDERAL TRIANGLE,SOUTH,30666,64,3,SOUTH to FEDERAL TRIANGLE,Fort Totten-Petworth Line,200,1.0,6499,24710,425,34,30,11TH ST NW + P ST NW,1001464,-77.027054,38.909775,195.52
541,5861,[64]FT TOTTEN - FEDERAL TRIANGLE,SOUTH,30666,64,3,SOUTH to FEDERAL TRIANGLE,Fort Totten-Petworth Line,200,1.0,6331,24440,887,35,31,11TH ST NW + N ST NW,1001371,-77.027054,38.907364,203.88
538,5861,[64]FT TOTTEN - FEDERAL TRIANGLE,SOUTH,30666,64,3,SOUTH to FEDERAL TRIANGLE,Fort Totten-Petworth Line,200,1.0,6255,21143,613,36,32,11TH ST NW + M ST NW,1001341,-77.027069,38.905781,209.66
511,5861,[64]FT TOTTEN - FEDERAL TRIANGLE,SOUTH,30666,64,3,SOUTH to FEDERAL TRIANGLE,Fort Totten-Petworth Line,200,1.0,6162,837,582,37,33,11TH ST NW + L ST NW,1001300,-77.027,38.904243,177.07
537,5861,[64]FT TOTTEN - FEDERAL TRIANGLE,SOUTH,30666,64,3,SOUTH to FEDERAL TRIANGLE,Fort Totten-Petworth Line,200,1.0,6065,19909,626,39,34,11TH ST NW + K ST NW,1001249,-77.027077,38.902706,177.54
519,5861,[64]FT TOTTEN - FEDERAL TRIANGLE,SOUTH,30666,64,3,SOUTH to FEDERAL TRIANGLE,Fort Totten-Petworth Line,200,1.0,16861,5422,458,40,35,11TH ST + I ST,1003466,-77.027057,38.901445,179.91
510,5861,[64]FT TOTTEN - FEDERAL TRIANGLE,SOUTH,30666,64,3,SOUTH to FEDERAL TRIANGLE,Fort Totten-Petworth Line,200,1.0,5786,835,745,41,36,11TH ST NW + H ST NW,1001097,-77.0271,38.899395,173.32
547,5861,[64]FT TOTTEN - FEDERAL TRIANGLE,SOUTH,30666,64,3,SOUTH to FEDERAL TRIANGLE,Fort Totten-Petworth Line,200,1.0,21792,35064,646,42,37,11TH ST + F ST,1001061,-77.02714,38.89766,180.65
546,5861,[64]FT TOTTEN - FEDERAL TRIANGLE,SOUTH,30666,64,3,SOUTH to FEDERAL TRIANGLE,Fort Totten-Petworth Line,200,1.0,21798,33906,493,43,38,11TH ST NW + E ST NW,1001018,-77.02717,38.89637,177.72
536,5861,[64]FT TOTTEN - FEDERAL TRIANGLE,SOUTH,30666,64,3,SOUTH to FEDERAL TRIANGLE,Fort Totten-Petworth Line,200,1.0,21794,17050,1178,45,39,10TH ST NW + PENNSYLVANIA AVE NW,1003691,-77.02606,38.89377,188.32
447,3266,[70]SILVER SPRING  - ARCHIVES,SOUTH,40192,70,1,SOUTH to ARCHIVES,Georgia Avenue-7th Street Line,352,1.0,18907,16646,0,2,1,SILVER SPRING STATION + BUS BAY 220,2005471,-77.030117,38.993413,141.43
479,3266,[70]SILVER SPRING  - ARCHIVES,SOUTH,40192,70,1,SOUTH to ARCHIVES,Georgia Avenue-7th Street Line,352,1.0,22080,9067191,374,3,2,SSTC ML COLLECTION POINT I/B,SSTC ML COLLECTI,-77.029728,38.99383,234.03
460,3266,[70]SILVER SPRING  - ARCHIVES,SOUTH,40192,70,1,SOUTH to ARCHIVES,Georgia Avenue-7th Street Line,352,1.0,18906,20888,602,4,3,WAYNE + DIXON,2005434,-77.028242,38.994478,107.26
432,3266,[70]SILVER SPRING  - ARCHIVES,SOUTH,40192,70,1,SOUTH to ARCHIVES,Georgia Avenue-7th Street Line,352,1.0,16692,10974,632,5,4,GEORGIA AVE + BONIFANT ST,2000167,-77.026843,38.993752,178.79
433,3266,[70]SILVER SPRING  - ARCHIVES,SOUTH,40192,70,1,SOUTH to ARCHIVES,Georgia Avenue-7th Street Line,352,1.0,9876,10975,966,6,5,GEORGIA AVE + SILVER SPRING AVE,2000146,-77.026771,38.991093,177.09
434,3266,[70]SILVER SPRING  - ARCHIVES,SOUTH,40192,70,1,SOUTH to ARCHIVES,Georgia Avenue-7th Street Line,352,1.0,9783,10976,1527,7,6,GEORGIA AVE + 13TH ST,2000115,-77.02681,38.986889,169.9
475,3266,[70]SILVER SPRING  - ARCHIVES,SOUTH,40192,70,1,SOUTH to ARCHIVES,Georgia Avenue-7th Street Line,352,1.0,16123,29540,979,9,7,GEORGIA AVE + EASTERN AVE,1003614,-77.02662,38.984338,195.58
426,3266,[70]SILVER SPRING  - ARCHIVES,SOUTH,40192,70,1,SOUTH to ARCHIVES,Georgia Avenue-7th Street Line,352,1.0,9680,4210,569,10,8,GEORGIA AVE + JUNIPER ST,1002857,-77.026634,38.982838,174.28
